,name,country,latitude,longitude,City,MAPE,MAE,MSE
137,kyaikkami,myanmar,16.077690180799554,97.58455750638616,kyaikkami,43658.761468721634,36.889910627844024,2231.6781239027787
138,bhamo,myanmar,24.25828451080168,97.22454000618517,bhamo,10987.067225746188,36.748277925169766,2217.1725272521285
139,twante,myanmar,16.712698414392662,95.93800304782472,twante,11371.42065837656,36.670652791624065,2215.8595622711646
140,myawadi,myanmar,16.68579364298845,98.5010145352739,myawadi,2962.357746281387,35.16018960120476,2071.326590789922
141,mawlaik,myanmar,23.64850405904461,94.40359321794703,mawlaik,41396.619607716566,36.96058402807618,2238.7617467920877
142,wakema,myanmar,16.60561695130559,95.1735091971046,wakema,32754.604804724397,36.9578802178786,2239.991486159821
143,myanaung,myanmar,18.261745159767035,95.3242056700436,myanaung,15227.464619451459,36.83703418221637,2224.4792974203287
144,pyu,myanmar,18.48384012600994,96.43734434768542,pyu,12128.787443003166,36.74161747115334,2215.3064650672563
145,kayan,myanmar,16.902866008954724,96.56330088992068,kayan,15038.20247428202,36.88143737007169,2226.974284022814
146,nyaungdon,myanmar,17.04420858710375,95.64218748650651,nyaungdon,14881.729255114204,36.8540979403794,2224.3912211099287
147,kathmandu,nepal,27.71355522445278,85.32521223902043,kathmandu,1629.09372478284,34.82308180260922,2031.0817705108173
148,naha,japan,26.21253265554088,127.68091651675816,naha,367.56323548636954,29.1185982465669,1583.16443943037
149,okinawa,japan,26.35054854210086,127.80811058369868,okinawa,390.24629174202374,29.545412514338413,1552.197286227807
150,fukuoka,japan,33.592037872232936,130.40345489583834,fukuoka,207.66517014173985,26.91177801044583,1281.5841725566231
151,kitakyushu,japan,33.87222192829876,130.87109189080667,kitakyushu,366.77502400458815,29.833881475533843,1546.241512121369
152,kumamoto,japan,32.80429273342453,130.71487758407625,kumamoto,626.8273251790977,32.11501461156153,1754.2409320268355
153,nagasaki,japan,32.75027630983996,129.87711945888125,nagasaki,1479.0605110312517,34.554280308078795,1997.3159046566589
154,sasebo,japan,33.17407748298014,129.71862889618114,sasebo,1824.0509276956939,34.885036092627836,2021.9795289103604
155,miyazaki,japan,31.90881556894441,131.4250954091057,miyazaki,1711.9249512785518,34.61503449365429,2002.3114482748526
156,kagoshima,japan,31.59811283969349,130.54174986512336,kagoshima,1217.4472620650995,34.04729803468887,1946.047679877903
157,miyakonojo,japan,31.72713549713111,131.06354413023527,miyakonojo,3573.5822674533465,35.97683754216179,2128.890630792523
158,kirishima,japan,31.746913008185334,130.75761210986138,kirishima,3685.50119686739,36.10262682534433,2142.397277345846
159,aira,japan,31.728383716887947,130.62706545220945,aira,3077.599046699745,35.95918358889566,2126.807143821845
160,oita,japan,33.23609947681877,131.60938046194832,oita,624.3942518239173,32.11129310957463,1766.1826599608332
161,kurume,japan,33.318047229905225,130.50612575338243,kurume,649.9238705423813,32.24369466346047,1774.8179950151125
162,saga,japan,33.26232240712147,130.30106020501876,saga,1163.9555119166796,34.142846076353386,1931.3910931869984
163,karatsu,japan,33.44935752791501,129.966730232081,karatsu,3054.4204708301477,35.820627749797744,2111.9711137024738
164,shimonoseki,japan,33.96008271088748,130.9407215338533,shimonoseki,569.5567979731568,31.965489383455516,1738.2300304324515
165,ube,japan,33.95077651122698,131.24720517892283,ube,1659.8238425452398,34.79031412365939,2018.7800251514116
166,matsuyama,japan,33.83993703959538,132.76026096171833,matsuyama,1127.487421177187,33.91569395384179,1951.3860380804624
167,kochi,japan,33.55323957340137,133.53232409046709,kochi,1493.653874760887,34.528858209482124,1986.5475193972343
168,matsue,japan,35.468583517019574,133.0620504226125,matsue,2935.444219189834,35.695624368414045,2101.9397558124842
169,jeju,"korea, rep.",33.499289351034506,126.53634598681104,jeju,321.2346134218265,27.197401914332016,1388.8768914847444
170,gwangju,"korea, rep.",35.153993795458724,126.81962494643608,gwangju,170.19875621670272,26.52718226397735,1226.6502079779061
171,busan,"korea, rep.",35.162281027721015,129.04653617624405,busan,87.08850342242468,21.264307025780322,725.1327484273005
172,mokpo,"korea, rep.",34.79884342644781,126.39527577466886,mokpo,472.41076501569523,30.446111536768452,1673.6036431980458
173,daegu,"korea, rep.",35.84352092844603,128.57272213973167,daegu,136.29327200905738,25.6161114721935,1074.6315258372904
174,qingdao,china,36.114393596814686,120.39705895859016,qingdao,160.58641453013198,23.88646244143736,1121.0802226930161
175,yantai,china,37.46059735242684,121.44093313612385,yantai,348.45233052493626,29.22514488918233,1519.619059478168
176,weihai,china,37.50761395858268,122.09589168247702,weihai,292.03413058897286,28.482449059435627,1544.8649835996684
177,weifang,china,36.69848184128038,119.14143797506438,weifang,179.00529544995126,24.577321988844957,1144.8873781307523
178,dongying,china,37.45124338581926,118.66652077555123,dongying,473.84011034320883,30.72968561299832,1671.45394256425
179,tianjin,china,39.09479235015274,117.19562864368515,tianjin,27.863229306161617,9.127389787125443,182.77208518216221
180,beijing,china,39.901461271264736,116.37810581730358,beijing,28.053694845016096,10.480432870088174,173.3833968248133
181,baoding,china,38.87132439643395,115.46608601302115,baoding,289.5371721007445,27.906256950108766,1431.735559075082
182,shijiazhuang,china,38.04148723799633,114.51890311296408,shijiazhuang,99.66470686534684,19.750530889346624,757.7422516509223
183,seoul,"korea, rep.",37.55947833647144,126.98315459889172,seoul,17.16934268503946,7.863523759080422,111.23011285435346
184,anyang,"korea, rep.",37.40299931362886,126.92725167679806,anyang,53.18813546106406,15.52893574443865,401.65894693484483
185,seongnam,"korea, rep.",37.39647993650362,127.1140699627591,seongnam,93.08386899642187,20.786622849415206,749.1550569730643
186,incheon,"korea, rep.",37.45151978191745,126.70411717541704,incheon,33.44293070954754,11.682778028599808,225.97734428794453
187,guri,"korea, rep.",37.598992044367456,127.1330205068175,guri,52.411946533372635,16.942756520355907,450.9798406765844
188,cheongju,"korea, rep.",36.62708856788915,127.49304690800476,cheongju,255.65945651533312,28.328069796163174,1409.9359454396254
189,xian,china,34.24459811807196,108.94544277292736,xian,45.99519832755703,15.474465555813529,437.38842507078044
190,zhengzhou,china,34.78036788502003,113.61694325525414,zhengzhou,66.62134203504517,15.827589075627193,494.54195883216363
