,name,country,latitude,longitude,City,M0_MAPE,M1_MAPE,M2_MAPE
147,kagoshima,japan,31.59811283969349,130.54174986512336,kagoshima,168.67160695133046,1428.6488808481754,351.3332737496342
148,miyakonojo,japan,31.72713549713111,131.06354413023527,miyakonojo,9265.854861112113,277.0518575336523,201.2425047641336
149,kirishima,japan,31.746913008185334,130.75761210986138,kirishima,6315.056808929846,453.30517258699734,172.5620355852167
150,aira,japan,31.728383716887947,130.62706545220945,aira,2098.4465301073396,244.52937037360894,1687.8389174758142
151,oita,japan,33.23609947681877,131.60938046194832,oita,67.97177197803698,9255.626094707,275.3768261032936
152,kurume,japan,33.318047229905225,130.50612575338243,kurume,77.74691913822092,100.53506839636799,36.07300870094716
153,saga,japan,33.26232240712147,130.30106020501876,saga,166.95067770076508,395.3642027232113,29.019625941389055
154,karatsu,japan,33.44935752791501,129.966730232081,karatsu,7606.764080324117,649.2110090472311,487.451572435059
155,shimonoseki,japan,33.96008271088748,130.9407215338533,shimonoseki,60.402777828393205,55.328784000786605,33.47755814322838
156,ube,japan,33.95077651122698,131.24720517892283,ube,257.439213874201,665.7138721168877,703.4180086140187
157,matsuyama,japan,33.83993703959538,132.76026096171833,matsuyama,147.8410279324181,338.6668491150443,202.80908756732003
158,kochi,japan,33.55323957340137,133.53232409046709,kochi,221.40891985353673,678.5561895677498,218.09596075144773
159,matsue,japan,35.468583517019574,133.0620504226125,matsue,1688.3218979701444,1022.5063321197439,869.2597792974406
160,jeju,"korea, rep.",33.499289351034506,126.53634598681104,jeju,37.908163308742125,4886.918286642861,885.6676659132177
161,gwangju,"korea, rep.",35.153993795458724,126.81962494643608,gwangju,5.698689412809593,21.250207769004856,37.81692494894818
162,busan,"korea, rep.",35.162281027721015,129.04653617624405,busan,12.144436659121965,16.84442251005456,43.375084222600634
163,mokpo,"korea, rep.",34.79884342644781,126.39527577466886,mokpo,50.36017005742724,1916.9789120554806,1690.4015619482543
164,daegu,"korea, rep.",35.84352092844603,128.57272213973167,daegu,4.631840364118406,5.642747010986955,22.13774760942712
165,qingdao,china,36.114393596814686,120.39705895859016,qingdao,6.487665842821172,16.703149192344405,49.54886164546472
166,yantai,china,37.46059735242684,121.44093313612385,yantai,33.25419048956245,13.712786513501591,14.26355518022872
167,weihai,china,37.50761395858268,122.09589168247702,weihai,22.169954215959777,40.266409172381564,1934.7051117061494
168,weifang,china,36.69848184128038,119.14143797506438,weifang,5.789223137004238,100.56200428255123,65.2623927605932
169,dongying,china,37.45124338581926,118.66652077555123,dongying,51.34322351105346,16.945925211306673,21.064115048904053
170,tianjin,china,39.09479235015274,117.19562864368515,tianjin,19.06854269115011,36.82534901967273,49.43219233733392
171,beijing,china,39.901461271264736,116.37810581730358,beijing,21.59391812152712,42.91864038596319,61.11086364305947
172,baoding,china,38.87132439643395,115.46608601302115,baoding,20.855030732421117,63.64183408930393,18.95694883155186
173,shijiazhuang,china,38.04148723799633,114.51890311296408,shijiazhuang,8.547896313136091,14.161644451642346,17.642933141966754
174,seoul,"korea, rep.",37.55947833647144,126.98315459889172,seoul,25.83185806957992,44.90173169267928,62.76763732758619
175,anyang,"korea, rep.",37.40299931362886,126.92725167679806,anyang,16.451213738217575,50.363157508455544,69.32574314132886
176,seongnam,"korea, rep.",37.39647993650362,127.1140699627591,seongnam,9.113248893575603,47.47390372962584,65.07623648255125
177,incheon,"korea, rep.",37.45151978191745,126.70411717541704,incheon,20.700868492838072,42.778604669241936,61.89564770780516
178,guri,"korea, rep.",37.598992044367456,127.1330205068175,guri,18.903233279710502,37.92062823469815,57.09820736316063
179,cheongju,"korea, rep.",36.62708856788915,127.49304690800476,cheongju,17.885852469684902,29.94749356291169,20.984365054418575
180,xian,china,34.24459811807196,108.94544277292736,xian,19.865347318624018,34.732249849262445,48.255625598668075
181,zhengzhou,china,34.78036788502003,113.61694325525414,zhengzhou,10.135099748966654,16.504862452538912,30.051739798414648
